has_job_experience,requires_job_training,no_of_employees,yr_of_estab,prevailing_wage,full_time_position,case_status,processing_time_days,continent_Asia,continent_Europe,continent_North America,continent_Oceania,continent_South America,education_of_employee_Doctorate,education_of_employee_High School,education_of_employee_Master's,region_of_employment_Midwest,region_of_employment_Northeast,region_of_employment_South,region_of_employment_West,unit_of_wage_Month,unit_of_wage_Week,unit_of_wage_Year
0,0,0.38666657457953507,0.6512299251107743,-1.3985372204578288,1,0,33,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False
1,0,-0.14228154604291937,0.5332110310089491,0.16983530038625477,1,1,16,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True
0,1,1.6949837548415536,0.6748337039311393,0.9190785173880331,1,0,42,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True
0,0,-0.24342905047398786,-1.945185745129379,0.16999396771430664,1,0,31,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True
1,0,-0.20041731998126036,0.6040223674700441,1.4286038027766497,1,1,13,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True
1,0,-0.14547245694329447,0.7692488192125994,0.07187981012980657,1,1,7,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True
0,0,-0.02981286458175291,0.3443808004460288,-0.3942149330465715,1,1,18,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True
1,0,-0.11504952561917016,-1.3078837169795232,-1.4018312356045928,1,0,35,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
0,0,-0.037462308521008306,0.7692488192125994,-0.0017726925855783015,1,1,28,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True
1,0,-0.14931903446703435,0.36798457926639383,-0.1314222656310953,1,1,16,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True
0,0,-0.1399648573070306,0.5804185886496791,0.17291984625891732,1,1,19,True,False,False,False,False,False,False,True,True,False,False,False,False,False,True
1,0,-0.06985223971522686,0.6040223674700441,-0.0689715248037747,1,0,45,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True
1,0,5.1670445033154655,-0.38733634298528713,-0.8670424345978808,1,1,18,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True
1,0,-0.17550198829339994,0.6512299251107743,0.6199048327698926,1,1,9,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True
1,1,0.44099948210236056,0.6276261462904091,2.7572881733727614,1,1,12,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True
1,0,-0.033659442105492765,0.1791543487034736,-0.006585159742011999,1,0,59,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True
1,0,3.1022191730152002,0.27356946398493376,-1.3395654766461984,1,1,15,False,True,False,False,False,False,False,True,True,False,False,False,False,False,True
1,0,-0.12763832478777332,0.509607252188584,-1.104294395709198,1,1,22,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True
1,0,-0.04039095277203751,0.5804185886496791,1.4387096619263324,1,1,10,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True
