has_job_experience,requires_job_training,no_of_employees,yr_of_estab,prevailing_wage,full_time_position,case_status,processing_time_days,continent_Asia,continent_Europe,continent_North America,continent_Oceania,continent_South America,education_of_employee_Doctorate,education_of_employee_High School,education_of_employee_Master's,region_of_employment_Midwest,region_of_employment_Northeast,region_of_employment_South,region_of_employment_West,unit_of_wage_Month,unit_of_wage_Week,unit_of_wage_Year,high_processing_delay,high_wage_flag
0,0,0.386666574579535,0.6512299251107743,-1.3985372204578288,1,0,33,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,1,0
1,0,-0.1422815460429193,0.5332110310089491,0.1698353003862547,1,1,16,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,0,1
0,1,1.6949837548415536,0.6748337039311393,0.9190785173880331,1,0,42,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,1,1
0,0,-0.2434290504739878,-1.945185745129379,0.1699939677143066,1,0,31,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,1,1
1,0,-0.2004173199812603,0.6040223674700441,1.4286038027766497,1,1,13,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,0,1
1,0,-0.1454724569432944,0.7692488192125994,0.0718798101298065,1,1,7,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,0,1
0,0,-0.0298128645817529,0.3443808004460288,-0.3942149330465715,1,1,18,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,0,0
1,0,-0.1150495256191701,-1.3078837169795232,-1.4018312356045928,1,0,35,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,1,0
0,0,-0.0374623085210083,0.7692488192125994,-0.0017726925855783,1,1,28,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,1,0
1,0,-0.1493190344670343,0.3679845792663938,-0.1314222656310953,1,1,16,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,0,0
0,0,-0.1399648573070306,0.5804185886496791,0.1729198462589173,1,1,19,True,False,False,False,False,False,False,True,True,False,False,False,False,False,True,0,1
1,0,-0.0698522397152268,0.6040223674700441,-0.0689715248037747,1,0,45,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,1,0
1,0,5.1670445033154655,-0.3873363429852871,-0.8670424345978808,1,1,18,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,0,0
